jahr;monat;temperatur;niederschlag
1881;4;6.5;88.9
1881;5;10.4;39.8
1881;6;14.4;83.2
1881;7;19.7;60.3
1881;8;16.6;182.9
1881;9;11;204.8
1881;10;4.4;58.5
1881;11;3.9;48.5
1881;12;-1.2;30.7
1882;1;-2.6;7.8
1882;2;-0.3;21.7
1882;3;5.3;25.5
1882;4;7.1;65.7
1882;5;11.7;67.4
1882;6;13.9;150.3
1882;7;14.9;139
1882;8;14.3;104.7
1882;9;10.9;205.8
1882;10;8.7;131.3
1882;11;4.2;129.4
1882;12;0.1;96
1883;1;-0.7;35
1883;2;2.1;36.7
1883;3;-0.5;48.8
1883;4;6.6;35.9
1883;5;11.9;120
1883;6;14.2;168.6
1883;7;15.2;146
1883;8;15.6;80.8
1883;9;12;101.7
1883;10;6.9;79.8
1883;11;3.9;79.1
1883;12;-1;56.1
1884;1;0.9;18.3
1884;2;1.6;66.5
1884;3;5;9
1884;4;6.4;31.1
1884;5;12.8;116
1884;6;12.2;62.2
1884;7;17.3;174.7
1884;8;16.4;117.3
1884;9;12.8;63.4
1884;10;7;33.4
1884;11;1.1;14.3
1884;12;-0.1;72.7
1885;1;-5;5.2
1885;2;2.7;109.4
1885;3;3;56
1885;4;8.2;16.4
1885;5;9.2;130.2
1885;6;16.3;56.6
1885;7;18.1;38.2
1885;8;15.8;104
1885;9;11.9;143.7
1885;10;6.5;173.5
1885;11;3.5;42.7
1885;12;-1.1;57
1886;1;-2.9;61.8
1886;2;-3.3;37.7
1886;3;2;44.4
1886;4;8.5;65.4
1886;5;11.5;75.1
1886;6;13.4;119.4
1886;7;17.4;104.4
1886;8;16.2;140
1886;9;14.8;32
1886;10;8.8;121
1886;11;3.8;77.6
1886;12;-0.4;114.7
1887;1;-5.2;8.3
1887;2;-3.5;6
1887;3;0.1;105.1
1887;4;6.6;51.7
1887;5;8.8;122.6
1887;6;16.4;70.9
1887;7;18.8;66.1
1887;8;15.8;119
1887;9;11.4;64.3
1887;10;4.1;61.3
1887;11;1.4;45.7
1887;12;-2.1;85.9
1888;1;-4.2;18.5
1888;2;-2.4;70.9
1888;3;1.3;128.9
1888;4;5.1;110.4
1888;5;12.7;62.4
1888;6;15.3;152.6
1888;7;14.6;128.9
1888;8;14.6;161.8
1888;9;13;132.9
1888;10;4.7;191.9
1888;11;3;49.4
1888;12;-2.2;14.4
1889;1;-3.8;8.7
1889;2;-2.5;75.6
1889;3;0.2;38.6
1889;4;6;32.3
1889;5;12.7;61.8
1889;6;16;194.4
1889;7;16.2;121.4
1889;8;15;104.3
1889;9;11.1;89.7
1889;10;7.1;187.8
1889;11;1.8;50
1889;12;-4.3;30
1890;1;-0.6;48.7
1890;2;-4.2;11.1
1890;3;2.6;23.1
1890;4;6.4;59
1890;5;12.4;111.6
1890;6;14.3;114.4
1890;7;15.2;103.9
1890;8;15.4;251.4
1890;9;11.6;29
1890;10;5.9;99.4
1890;11;2.3;57.1
1890;12;-5.9;10.1
1891;1;-7.2;26.2
1891;2;-3.3;3.1
1891;3;2;49.6
1891;4;4.9;69.2
1891;5;11.2;71.1
1891;6;14.9;124.8
1891;7;15.7;170.8
1891;8;14.8;94.8
1891;9;12.9;82.3
1891;10;8.4;97.5
1891;11;1.9;97.2
1891;12;-0.1;88.8
1892;1;-2.5;46.4
1892;2;0.2;41.2
1892;3;-0.2;28.5
1892;4;7.4;50.6
1892;5;11.6;32.1
1892;6;15.5;89
1892;7;16.4;91.3
1892;8;17.1;62
1892;9;13.2;110.3
1892;10;7.1;134.7
1892;11;5;37.8
1892;12;-2.9;18
1893;1;-7;38.8
1893;2;0.5;74.7
1893;3;4.7;27.6
1893;4;10.7;0
1893;5;12.1;30.4
1893;6;15.7;82.1
1893;7;16.8;126.3
1893;8;17.6;25.8
1893;9;13.2;116.6
1893;10;9.2;64
1893;11;2;81.7
1893;12;-1.7;22
1894;1;-3.6;31.5
1894;2;0.3;13.1
1894;3;3.8;38.9
1894;4;9.2;57.1
1894;5;10.6;109.2
1894;6;14.6;56.4
1894;7;17.3;101.6
1894;8;15.9;78.4
1894;9;11.7;76.4
1894;10;8.2;111.2
1894;11;3.4;48.3
1894;12;-1.6;36.9
1895;1;-6.2;73.2
1895;2;-8.1;34.1
1895;3;0.7;70.2
1895;4;8.5;62.9
1895;5;11.5;52.1
1895;6;15.4;72.8
1895;7;17.2;135.3
1895;8;16.3;121.8
1895;9;15.9;17.2
1895;10;7.2;104.8
1895;11;5.7;108.8
1895;12;0.8;100.8
1896;1;-2.8;10.9
1896;2;-2.2;4.6
1896;3;5.8;97.3
1896;4;5.3;101.5
1896;5;9.9;37.5
1896;6;15.1;163.9
1896;7;17.2;127.4
1896;8;13.6;132.6
1896;9;12.4;196.7
1896;10;6.6;166.4
1896;11;1.3;46.6
1896;12;-0.6;23.8
1897;1;-2.5;21.2
1897;2;3.3;94.8
1897;3;6;68.2
1897;4;7.2;86.3
1897;5;10.1;105.1
1897;6;17.1;65.6
1897;7;17.6;102.4
1897;8;16.4;156.6
1897;9;11.9;141.4
1897;10;6.5;2
1897;11;2.3;13.2
1897;12;-1.3;39.8
1898;1;-0.8;13.2
1898;2;0;61.8
1898;3;2.5;22.9
1898;4;7.5;121.1
1898;5;10.5;94.7
1898;6;13.7;136.2
1898;7;15.6;103.5
1898;8;17.9;28.8
1898;9;14.5;9.7
1898;10;9.6;110.3
1898;11;4.4;93.5
1898;12;-0.9;31.5
1899;1;1.3;83.3
1899;2;1.7;30.1
1899;3;3.6;9.3
1899;4;6.7;134
1899;5;10.7;73.2
1899;6;15;79.1
1899;7;16.9;53.9
1899;8;17.7;44.1
1899;9;12.7;112.6
1899;10;8.1;97.2
1899;11;2.9;25.2
1899;12;-3.4;51.7
1900;1;0.1;119.5
1900;2;1.9;87.8
1900;3;-0.3;52.2
1900;4;6.5;46.5
1900;5;10.3;91.5
1900;6;16;80.7
1900;7;18.4;99.7
1900;8;15.2;151.8
1900;9;14.5;40.1
1900;10;8.2;60.8
1900;11;3.8;56.4
1900;12;0.8;70.6
1901;1;-2.9;29.4
1901;2;-5.6;21.6
1901;3;1.3;76.3
1901;4;7.7;184.5
1901;5;12.1;17
1901;6;15.4;172.6
1901;7;17.2;125.6
1901;8;15.4;82.9
1901;9;13.1;138.9
1901;10;7.5;58.1
1901;11;0.1;47.9
1901;12;-0.8;66.1
1902;1;-0.6;45.4
1902;2;-1.3;92.4
1902;3;3.6;108
1902;4;9.5;84.2
1902;5;7.4;131
1902;6;14.1;49.7
1902;7;17.5;91.7
1902;8;15.4;154.5
1902;9;12.4;102.7
1902;10;7.1;93.3
1902;11;1.4;35.7
1902;12;-1.6;56.1
1903;1;-2.3;37.3
1903;2;0.6;52
1903;3;4.6;50
1903;4;3.9;51.2
1903;5;11.7;76.4
1903;6;13.4;93.8
1903;7;15.3;182.7
1903;8;15.8;117.6
1903;9;13.1;49
1903;10;8.6;122
1903;11;3.1;96.3
1903;12;-2.6;49.9
1904;1;-3.3;22.8
1904;2;0.8;143.6
1904;3;3.1;41.3
1904;4;9;78.9
1904;5;12.7;131.1
1904;6;16;121
1904;7;19.6;38.6
1904;8;17.4;90.7
1904;9;11.2;90.8
1904;10;7.9;27.2
1904;11;1.6;31
1904;12;-0.2;64.7
1905;1;-4.2;37.8
1905;2;-0.5;15.7
1905;3;4;124.7
1905;4;7.6;149.8
1905;5;9.9;109.4
1905;6;15.6;113.9
1905;7;19.3;76.6
1905;8;16;255.6
1905;9;12.8;135.8
1905;10;3.4;90
1905;11;2.2;109
1905;12;-0.9;42.8
1906;1;-0.9;57.8
1906;2;-1.5;63.2
1906;3;2.3;53.9
1906;4;6.8;38.6
1906;5;11.6;102.4
1906;6;14.5;86.1
1906;7;17.4;101.9
1906;8;17.5;31.3
1906;9;12.4;30.2
1906;10;9.7;55.1
1906;11;3.8;65.9
1906;12;-3.4;89.4
1907;1;-2.8;67.9
1907;2;-3.6;42.1
1907;3;2.1;47.2
1907;4;5.8;78.7
1907;5;12;91.4
1907;6;14.5;170.2
1907;7;14.9;96.7
1907;8;16.9;74
1907;9;13.3;68.9
1907;10;8.7;75.3
1907;11;3.7;21.8
1907;12;1.4;106.8
1908;1;-4.5;26
1908;2;-0.6;86
1908;3;1.9;45.1
1908;4;5.2;60.7
1908;5;13.2;128.8
1908;6;16.9;89.2
1908;7;16.4;176.5
1908;8;14.6;92.8
1908;9;12;123.5
1908;10;7.3;12.3
1908;11;1.2;52.1
1908;12;-1.4;49.2
1909;1;-4.3;24.7
1909;2;-3.3;16.8
1909;3;0.5;73.4
1909;4;8.7;68.7
1909;5;11.3;44.3
1909;6;13.3;161.8
1909;7;14.6;121.7
1909;8;15.6;88.9
1909;9;11.9;60.2
1909;10;9.1;116.6
1909;11;1.2;39.9
1909;12;1.1;156.5
1910;1;-0.7;174.4
1910;2;0.2;55.9
1910;3;3.3;27.3
1910;4;6.4;86.6
1910;5;10;100.5
1910;6;14.9;172.1
1910;7;14.8;188.6
1910;8;15.5;89.1
1910;9;10.7;76.5
1910;10;8.6;32
1910;11;2.1;188.9
1910;12;1.4;77.3
1911;1;-5.5;15.8
1911;2;-0.4;50.1
1911;3;3.2;68.4
1911;4;6.3;39.7
1911;5;11.7;124.3
1911;6;14.5;117
1911;7;20;1.2
1911;8;19.9;45.3
1911;9;14.9;71.1
1911;10;8;65.6
1911;11;4.6;64.9
1911;12;1.8;104.6
1912;1;-0.3;55.4
1912;2;2.8;60.9
1912;3;5.7;81.9
1912;4;6.4;27.6
1912;5;12.4;89.9
1912;6;14.9;128.1
1912;7;15.8;135.1
1912;8;12.7;213.6
1912;9;7.9;28.7
1912;10;6.3;163.2
1912;11;0.6;53.5
1912;12;-0.3;38.1
1913;1;0.5;66.1
1913;2;-0.2;29.6
1913;3;4.9;106.6
1913;4;7;78.4
1913;5;11.3;84.7
1913;6;14.4;57.1
1913;7;13.9;96.1
1913;8;15.3;74.7
1913;9;11.8;140.1
1913;10;8.7;40.2
1913;11;5.9;131
1913;12;-0.3;49
1914;1;-5.6;47
1914;2;0.5;33.5
1914;3;4.2;156.8
1914;4;9.5;66.4
1914;5;9.6;139.4
1914;6;13.6;96.9
1914;7;15;179.2
1914;8;15.8;170.4
1914;9;12.3;58.2
1914;10;7.3;36.3
1914;11;2;60.5
1914;12;1.7;69.1
1915;1;-0.8;74.9
1915;2;-0.5;54.5
1915;3;2.1;95.4
1915;4;5.9;85.1
1915;5;13.6;99
1915;6;16.5;150.3
1915;7;15.7;167
1915;8;15;110.4
1915;9;10.8;88.7
1915;10;5.7;17.3
1915;11;0.6;106.4
1915;12;3.6;106.5
1916;1;1.7;33.2
1916;2;0.8;102.1
1916;3;3.4;84.9
1916;4;7.3;95.8
1916;5;12.3;71.6
1916;6;12.4;189
1916;7;15.4;175.1
1916;8;15.6;126
1916;9;10.6;58.6
1916;10;7.8;87.9
1916;11;2.9;99.7
1916;12;0.4;148.8
1917;1;-3.2;34.7
1917;2;-3.3;14.5
1917;3;0.8;124.6
1917;4;4.3;72.7
1917;5;14.5;79.7
1917;6;16.9;111.7
1917;7;16.6;95.9
1917;8;15.2;119.6
1917;9;14.6;46.6
1917;10;6.3;152
1917;11;2.6;74.4
1917;12;-5.7;20.5
1918;1;-1.7;45.9
1918;2;-0.1;26.3
1918;3;3;55.3
1918;4;6.9;83.1
1918;5;13.1;43.7
1918;6;12.9;162
1918;7;16.6;29
1918;8;15.9;65.6
1918;9;12.8;237.6
1918;10;6.1;54.8
1918;11;2.7;29.3
1918;12;2.6;138.7
1919;1;-0.7;29.3
1919;2;-1.6;111.4
1919;3;3.2;102.5
1919;4;4.1;104.1
1919;5;11.7;40.7
1919;6;15.5;81.5
1919;7;13.7;118.1
1919;8;18.1;29.4
1919;9;14.9;48.5
1919;10;4.7;56.1
1919;11;1.3;127.6
1919;12;1;147.3
1920;1;1.9;87.4
1920;2;2;9.4
1920;3;5.2;45
1920;4;7.7;83.8
1920;5;14;93.7
1920;6;14.7;88.5
1920;7;16.6;93.3
1920;8;14.4;92.1
1920;9;12.7;121.8
1920;10;7.7;8.5
1920;11;1.7;6.5
1920;12;-0.6;40.6
1921;1;2.8;31.1
1921;2;0;5.5
1921;3;4.8;19.8
1921;4;6.2;58.5
1921;5;12.4;163
1921;6;15.6;68.7
1921;7;19;42
1921;8;16.2;149.1
1921;9;14.1;101.6
1921;10;10.3;24.5
1921;11;-0.1;40.5
1921;12;-0.1;21.1
1922;1;-1.4;78.5
1922;2;-0.3;84.9
